9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6
6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
